"ID","ID"
"Customer Name","Nazwa klienta"
"Product SKU","SKU produktu"
"Index TIM","Indeks TIM"
"Operation","Operacje"
"Product Name","Nazwa produktu"
"Date Added","Data dodania"
"Comments","Tekst opinii"
"Media","Media"
"Display opinion","Pokaż opinie"
"Opinion","Opinia"
"Display opinion","Zobacz opinie"
"Opinion","Opinie"
"Display opinion","Zobacz opinie"
"Recommendations","Opinie"
"IP","IP"
"HOST","HOST"
"Do you want to comment on the above opinions and / or submit your own post / ask a question? Write:","Chcesz skomentować powyższą opinię / przedstawić własne stanowisko / zadać pytanie? Napisz:"
"Czy posiadasz już konto na naszym serwisie?","Czy posiadasz już konto na naszym serwisie?"
"Podaj twój login:","Podaj twój login:"
"Podaj twoje hasło:","Podaj twoje hasło:"
"Zaloguj się i dodaj komentarz","Zaloguj się i dodaj komentarz"
"Podaj adres e-mail:","Podaj adres e-mail:"
"Podaj proponowane hasło:","Podaj proponowane hasło:"
"Podaj proponowany pseudonim:","Podaj proponowany pseudonim:"
"Zapisz się i dodaj komentarz","Zapisz się i dodaj komentarz"
"Comment was successfully added.","Komentarz został pomyślnie dodany."
"Can\'t add comment. Please try again.","Nie można dodać komentarza. Proszę spróbować ponownie."
"HOST","HOST"
"Yes","Tak"
"No","Nie"
"Opinion info","Szczegóły opinii"
"Recommend","Czy polecasz ten produkt"
"Rating service","Łatwość montażu"
"Rating failure","Awaryjność produktu"
"Rating durability","Trwałość produktu"
"Rating price","Stosunek jakości do ceny"
"Conclusion","Podsumowanie"
"Defects","Wady produktu"
"Advantages","Zalety produktu"
"Add note","Dodaj notkę"
"Save","Zapisz"
"Please enter note text.","Proszę wprowadź tekst notki"
"Note","Notka"
"Notes","Notki"
"Display note","Zobacz notki"
"Note info","Szczegóły notki"
"Admin","Admin"
"TAK","TAK"
"NIE","NIE"
"Opinion","Opinia"
"Comment ID / Opinion ID","ID Opinii / ID Komentarza"
"Customer name","Nazwa klienta"
"Malpractice text","Tekst nadużycia"
"Detail","Operacje"
"Are you certain that you would like accept entry?","Czy jesteś pewien, że chcesz zaakceptować wpis?"
"Moderate","Moderuj"
"The opinion/comment was successfully allowed!","Opinia / komentarz został pomyślnie zatwierdzony!"
"The opinion/comment wasn't allowed. Please try again.","The opinion/comment wasn't allowed. Please try again."
"Opinion images","Zdjęcia opinii"
"The maximum and minimum number of characters in the opinion and comments","Maksymalna oraz minimalna liczba znaków w opinii i komentarzu"
"The maximum number of characters","Maksymalna liczba znaków"
"All comments to opinion","Wszystkie komentarze do opinii"
"Display comments","Zobacz komentarze"
"Display comment","Zobacz komentarz"
"Display opinion","Zobacz opinie"
"The minimum number of characters","Minimalna liczba znaków"
"The maximum number of characters is ","Maksymalna liczba znaków to "
"The minimum number of characters is ","Minimalna liczba znaków to "
"Send confirmation to add opinion","Wyślij potwierdzenie dodania opinii"
"Send confirmation to add comment","Wyślij potwierdzenie dodania komentarza"
"Send confirmation to add malpractice","Wyślij potwierdzenie dodania nadużycia"
"Confirm opinion comment malpractice","Potwierdź opinie komentarz nadużycie"
"Send order email to","Wyślij email do"
"Send order email copy to","Wyślij kopię emaila do"
"Settings","Ustawienia"
"Tim_Settings","Ustawienia"
"Enabled","Włączone"
"Choose it if you want to delete image.","Wybierz, jeśli chcesz usunąc obraz."
"Nick","Nick"
"Sorry, but this nick already exist.","Niestety, ale ten nick już istnieje."
"Acceptance","Akceptacja"
"Manufacturer","Producent"
"Send report","Wyślij zgłoszenie"
"Report abuse","Zgłoś nadużycie"
"Jeżeli masz uwagi dotyczące naruszenia regulaminu strony, co do formy, treści lub zawartości niniejszego wpisu, napisz nam o tym korzystając z poniżeszego pola do opisu zgłoszenia.","Jeżeli masz uwagi dotyczące naruszenia regulaminu strony, co do formy, treści lub zawartości niniejszego wpisu, napisz nam o tym korzystając z poniżeszego pola do opisu zgłoszenia."
"Malpractices","Nadużycia"
"Malpractice","Nadużycia"
"Action","Operacje"
"Comment ID","ID Komentarza"
"Recom ID","ID Opinii"
"Acceptance Yes","Akceptacja Tak"
"Acceptance No","Akceptacja Nie"
"View","Zobacz"
"Opinion","Opinia"
"Opinions","Opinie"
"Opinion / Comment","Opinia / Komentarz"
"Opinion details for product","Szczegóły opinii dla produktu"
"Do you use this product","Czy używasz tego produktu"
"Film","Film"
"Photo","Zdjęcia"
"Comments","Komentarze"
"Tim_Comments","Komentarze"
"Avatar settings","Ustawienia awatarów"
"Default avatars","Domyślne awatary"
"Avatar","Awatar"
"Avatar 1","Awatar 1"
"Avatar 2","Awatar 2"
"Avatar 3","Awatar 3"
"Avatar 4","Awatar 4"
"Avatar 5","Awatar 5"
"Avatar %s","Awatar %s"
"Choose your avatar from a list","Wybierz awatar z listy"
"Add your avatar","Dodaj swój awatar"
"Allowed file types: jpeg, png.","Dozwolone typy plików: jpeg, png."
"Required fields in the opinion","Pola wymagane w opinii"
"Advantages of the product","Zalety produktu"
"Product defects","Wady produktu"
"Price to quality","Stosunek jakości do ceny"
"Price to quality:","Stosunek jakości do ceny:"
"Product durability","Trwałość produktu"
"Product failure","Awaryjność produktu"
"Easy installation","Łatwość montażu"
"Do you use this product","Czy używasz tego produktu"
"Do you recommend this product","Czy polecasz ten produkt"
"Here you can add photos","Tutaj możesz dodać zdjęcia"
"Here you can add video","Tutaj możesz dodać film"
"* Required Fields","* Pola wymagane"
"No file selected","Nie wybrano pliku"
"Browse","Przeglądaj"
"User have added video not from the youtube.","Użytkownik dodał film nie pochodzący z serwisu YouTube."
"Don\'t have an images","Nie masz zdjęć"
"Thank you for adding opinion. Your opinion has been submitted for review by the administrator.","Dziękujemy za dodanie opinii. Twoja opinia została przesłana do weryfikacji przez administratora."
"Thank you for adding comment. Your comment has been submitted for review by the administrator.","Dziękujemy za dodanie komentarza. Twój komentarz został przesłany do weryfikacji przez administratora"
"Date of publication","Data publikacji"
"Method of adding","Metoda dodania"
"User","Użytkownik"
"From file","Z pliku"
"The opinion/comment wasn\'t allowed. Please try again.","Opinia / komentarz nie został pomyślnie zatwierdzony. Proszę spróbować ponownie."
"malpractice","nadużycie"
"comment","komentarz"
"opinion","opinia"
"Salt","Sól"
"Tim Salt","Tim Sól"
"Opinions about the product: ","Opinie o produkcie: "
"Add opinion","Dodaj opinię"
"add opinion","dodaj opinię"
"Opinion accepted","Opinia zaakceptowana"
"Comment accepted","Komentarz zaakceptowany"
"Oldest","Najstarsze"
" for product reviews: "," do opinii o produkcie: "
"Oldest","Najstarsze"
"Display","Wyświetl"
"Display:","Wyświetl:"
"products","produktów"
" from"," z"
"Total of %d opinion(s) were allowed.","Łącznie zostało zaakceptowanych %d opinii."
"Total of %d opinion(s) were denied.","Łącznie zostało odrzuconych %d opinii."
"Total of %d comment(s) were allowed.","Łącznie zostało zaakceptowanych %d komentarzy."
"Total of %d comment(s) were denied.","Łącznie zostało odrzuconych %d komentarzy."
"Tim Recommendation","Typ oraz poziom użytkownika"
"Send confirmation of acceptance opinion","Wyślij potwierdzenie akceptacji opinii"
"Send confirmation of acceptance comment","Wyślij potwierdzenie akceptacji komentarza"
"The link will not come from Youtube","Podany link nie prowadzi do filmu z serwisu YouTube"
"Your e-mail","Twój e-mail"
"Not logged","Niezalogowany"
"Recommendation","Ustawienia konta"
"Points for customer","Punkty użytkownika"
"Add image to opinion","Dodanie zdjęcia do opinii"
"Add movie to opinion","Dodanie filmu do opinii"
"Add comment","Dodanie komentarza"
"The number of stamps","Liczba znaczków"
"From","Od"
"To","Do"
"Client","Klient"
"Expert","Ekspert"
"E-mail addresses","Adresy e-mail"
"The email-addresses must be separated by a comma","Adresy muszą być oddzielone przecinkiem"
"Total of %d opinion(s) were allowed.","Łącznie zostało zaakceptowanych %d opinii."
"Total of %d opinion(s) were denied.","Łącznie zostało odrzuconych %d opinii."
"Please enter a valid URL. For example http://www.example.com or www.example.com or example.com","Please enter a valid URL. For example http://www.example.com or www.example.com or example.com"
"Please choose one of the options above.","Prosimy o wybór jednej z powyższych opcji."
"Warning! To add your review or comment you have to make some data in your account. Required data are: Nick, Avatar and type of user. You can do this by clicking the button below.","Uwaga! Aby dodać opinię lub komentarz musisz uzupełnić niektóre dane na swoim koncie. Wymagane dane to: Nick , Awatar oraz Typ użytkownika. Możesz to zrobić klikając na przycisk poniżej."
"Edit your profile","Edytuj swój profil"
"Point of view","Dodanie opinii"
"Are you sure?","Czy jesteś pewien?"
"Can't add opinion. Please try again.","Can't add opinion. Please try again."
"Didn\'t save %s file.","Didn\'t save %s file."
"Don't have an images","Don't have an images"
"The minimum number of characters is %s","Minimalna liczba znaków to %s"
"The maximum number of characters is %s","Maksymalna liczba znaków to %s"
"Add a new opinion about the product","Dodaj nową opinię o produkcie"
"Describe the advantages of the product:","Opisz zalety produktu:"
"Describe product defects:","Opisz wady produktu:"
"Summary / additional information / comments:","Podsumowanie / dodatkowe informacje / uwagi:"
"RATE QUALITY OF PRODUCT","OCEŃ WALORY PRODUKTU"
"Load photos","Wczytaj zdjęcia"
"LINK","LINK"
"OPINIONS ADDED BY CUSTOMER","OPINIE DODANE PRZEZ UŻYTKOWNIKA"
"COMMENTS ADDED BY CUSTOMER","KOMENTARZE DODANE PRZEZ UŻYTKOWNIKA"
"opinion(s):","opinii:"
"Product","Produkt"
"Average Rating","Średnia Ocena"
"from ","z "
"Warning! You are not logged to add a review or comment you must log in or create an account on our site.","Uwaga! Nie jesteś zalogowanym użytkownikiem, aby dodać opinię lub komentarz musisz zalogować się lub założyć konto na naszym serwisie."
"Product image","Zdjęcie produktu"
"Given the link does not lead to the film from YouTube","Podany link nie prowadzi do filmu z serwisu YouTube"
"You can not upload a file: ","Nie można przesłać pliku: "
". They are acceptable image files in jpg or png.",". Dopuszczalne są pliki graficzne w formacie jpg lub png."
". The maximum size is ",". Maksymalny rozmiar to "
"Please choose one of the options above.","Prosimy o wybór jednej z powyższych opcji."
"Please enter the correct URL. For example http://www.strona.pl or www.strona.pl","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl"
"You can not upload a file. They are acceptable image files in jpg or png.","Nie można przesłać pliku. Dopuszczalne są pliki graficzne w formacie jpg lub png."
"You can not upload a file. The maximum size is 400 kb.","Nie można przesłać pliku. Maksymalny rozmiar to 400 kb."
"Cropped image have to be not more then cropper window","Cropped image have to be not more then cropper window"
"If you have any comments regarding violations of the Rules of the page, as to the form, content or the content of this post, write us about it using the text field to describe the application.","Jeżeli masz uwagi dotyczące naruszenia regulaminu strony, co do formy, treści lub zawartości niniejszego wpisu, napisz nam o tym korzystając z poniżeszego pola do opisu zgłoszenia."
"Close the window","Zamknij okno"
"Thank you for information about the abuse. Your application has been submitted for review by the administrator.","Dziękujemy za informację o nadużyciu. Twoje zgłoszenie zostało przesłane do weryfikacji przez administratora."
"Modify","Modyfikuj"
"Details of reviews for the product: %s with number: %s","Szczegóły opinii dla produktu: %s o numerze: %s"
"Back","Powrót"
"Opinion was modified.","Opinion was modified."
"Publish","Opublikuj bez uwag"
"Can update and present visit card","Can update and present visit card"
"Without moderation","Without moderation"
"Comment info","Szczegóły komentarz"
"Comment was modified.","Comment was modified."
"Comment info for the product: %s with number: %s to opinion: %s.","Szczegóły komentarza dla produktu: %s o numerze: %s do opinii: %s."
"Not accept","Odpublikuj"
"Accept","Opublikuj"
"Please set time in hours.","Please set time in hours."
"Expired time for abuses","Expired time for abuses"
"Expired time","Expired time"
"Confirm abuse for customer","Potwierdzenie nadużycia"
"Your entry has expired","Twój wpis stracił ważność"
"Thank you for reporting abuse","Dziękujemy, za zgłoszenie nadużycia"
"Application has already been confirmed","Zgłoszenie zostało już potwierdzone"
"Account Settings opinion","Ustawienia konta opinii"
"%s post(s)","%s wpisów"
"Product's opinion","Opinie o produkcie"
"Something went wrong. Please add again last images.","Something went wrong. Please add again last images."
"You can not transfer files. Maximum number of files to be transferred to ","Nie można przesłać plików. Maksymalna ilość przesyłanych plików to "
